City Name,Program Name,State (full),Program Short Name,Call Volume,Calls per 1000 residents,Call Volume Data Year,Budget size,Call Categories,Responder Type,Operating Agency,Dispatch method,Launch Year,Website,Evaluation link(s),Dashboard link,Pink or Gray (for site),City Population,Hours of Operation,Budget source(s),Combined City + Program Name,Latitude,Longitude
"Allegheny County, PA",A Team,Pennsylvania ,A Team,,,,$3000000,Suspicious Person,"Trained Civilian,Clinician/Social Worker",Contracted Agency - Social Service Provider,9-1-1 center-led,2024,https://www.rhd.org/program/a-team/,,,Gray,1225000,,,"Allegheny County, PA - A Team",40.46870973,-79.96966865
"Ames, IA",Alternative Response for Community Health (ARCH),Iowa,ARCH,480.0,7.0,,$300000,Mental Health,"EMT/Paramedic/Nurse,Clinician/Social Worker",Contracted Agency - Social Service Provider,9-1-1 center-led,2022,"https://www.mgmc.org/about/arch/#:~:text=A%20collaboration%20between%20Mary%20Greeley,an%20EMS%20or%20Police%20response.",,,Gray,66950,,,"Ames, IA - Alternative Response for Community Health (ARCH)",42.03574603,-93.61067295
"Amherst, MA","Community Responders for Equity, Safety & Service (CRESS)",Massachusetts,CRESS,,,,,,,,9-1-1 center-led,2022,https://www.amherstma.gov/3655/Community-Responders-for-Equity-Safety-S,,,Gray,40059,,,"Amherst, MA - Community Responders for Equity, Safety & Service (CRESS)",42.38218413,-72.51350425
"Anchorage, AK",Mobile Crisis Team (MCT),Alaska,MCT,3569.0,12.0,2024.0,$1396640,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2021,https://www.muni.org/Departments/Fire/Pages/Mobile-Crisis-Team.aspx,,,Pink,291131,,Alcohol Tax,"Anchorage, AK - Mobile Crisis Team (MCT)",61.22530223,-149.8884802
"Anchorage, AK",Mobile Crisis Team (MCT),Alaska,MCT,3569.0,12.0,2024.0,$1396640,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2021,https://www.muni.org/Departments/Fire/Pages/Mobile-Crisis-Team.aspx,,,Pink,291131,,Alcohol Tax,"Anchorage, AK - Mobile Crisis Team (MCT)",61.22530223,-149.8884802
"Anchorage, AK",Mobile Crisis Team (MCT),Alaska,MCT,3569.0,12.0,2024.0,$1396640,Substance Use,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2021,https://www.muni.org/Departments/Fire/Pages/Mobile-Crisis-Team.aspx,,,Pink,291131,,Alcohol Tax,"Anchorage, AK - Mobile Crisis Team (MCT)",61.22530223,-149.8884802
"Antioch, CA",Angelo Quinto Crisis Response Team (AQCRT),California,AQCRT,6414.0,55.0,2023.0,$1000000,Mental Health,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://felton.org/social-services/justice-services/angelo-quinto-community-response-team-aqcrt/,Oversight Report - See page 51,,Pink,117096,24/7,,"Antioch, CA - Angelo Quinto Crisis Response Team (AQCRT)",38.01391073,-121.7994172
"Antioch, CA",Angelo Quinto Crisis Response Team (AQCRT),California,AQCRT,6414.0,55.0,2023.0,$1000000,Suspicious Person,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://felton.org/social-services/justice-services/angelo-quinto-community-response-team-aqcrt/,Oversight Report - See page 51,,Pink,117096,24/7,,"Antioch, CA - Angelo Quinto Crisis Response Team (AQCRT)",38.01391073,-121.7994172
"Antioch, CA",Angelo Quinto Crisis Response Team (AQCRT),California,AQCRT,6414.0,55.0,2023.0,$1000000,Conflict Resolution,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://felton.org/social-services/justice-services/angelo-quinto-community-response-team-aqcrt/,Oversight Report - See page 51,,Pink,117096,24/7,,"Antioch, CA - Angelo Quinto Crisis Response Team (AQCRT)",38.01391073,-121.7994172
"Antioch, CA",Angelo Quinto Crisis Response Team (AQCRT),California,AQCRT,6414.0,55.0,2023.0,$1000000,Service Connection,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://felton.org/social-services/justice-services/angelo-quinto-community-response-team-aqcrt/,Oversight Report - See page 51,,Pink,117096,24/7,,"Antioch, CA - Angelo Quinto Crisis Response Team (AQCRT)",38.01391073,-121.7994172
"Antioch, CA",Angelo Quinto Crisis Response Team (AQCRT),California,AQCRT,6414.0,55.0,2023.0,$1000000,Substance Use,Trained Civilian,Contracted Agency - Social Service Provider,9-1-1 center-led,2023,https://felton.org/social-services/justice-services/angelo-quinto-community-response-team-aqcrt/,Oversight Report - See page 51,,Pink,117096,24/7,,"Antioch, CA - Angelo Quinto Crisis Response Team (AQCRT)",38.01391073,-121.7994172
"Arlington County, VA",Mobile Outreach Support Team (MOST) ,Virginia,MOST,495.0,2.0,,,,"Clinician/Social Worker,Peer Support Specialist",City Health Department,9-1-1 center-led,2023,https://www.arlingtonva.us/Government/Departments/DHS/Behavioral-Healthcare-Home/Mobile-Outreach-Support-Team-MOST,,,Gray,235764,,,"Arlington County, VA - Mobile Outreach Support Team (MOST) ",38.88592193,-77.08293755
"Asheville, NC",AFD Community Responders ,North Carolina,AFD CRs,665.0,7.0,2024.0,,Mental Health,EMT/Paramedic/Nurse,,,2023,https://www.arcgis.com/apps/dashboards/9ad73f2e3a834b3fb0a8dcd1f817c4ee,,https://www.arcgis.com/apps/dashboards/9ad73f2e3a834b3fb0a8dcd1f817c4ee,Gray,93392,,,"Asheville, NC - AFD Community Responders ",35.60435233,-82.54446885
"Athens-Clarke County, GA",Alternative Response Team,Georgia,ART,95.0,1.0,2023.0,$276800,Mental Health,,Contracted Agency - Social Service Provider,9-1-1 center-led,2021,,,,Gray,128711,Monday-Friday from 10 a.m. to 6 p.m,ARPA funds,"Athens-Clarke County, GA - Alternative Response Team",33.95485863,-83.34940975
"Atlanta, GA",Policing Alternatives & Diversion (PAD),Georgia,PAD,1800.0,4.0,2024.0,,Service Connection,Trained Civilian,Contracted Agency - Social Service Provider,External hotline-led,2021,https://www.atlantapad.org/,,,Gray,499127,Monday through Friday from 7 AM to 7 PM,,"Atlanta, GA - Policing Alternatives & Diversion (PAD)",33.75798173,-84.38389255
"Atlanta, GA",Policing Alternatives & Diversion (PAD),Georgia,PAD,1800.0,4.0,2024.0,,Conflict Resolution,Trained Civilian,Contracted Agency - Social Service Provider,External hotline-led,2021,https://www.atlantapad.org/,,,Gray,499127,Monday through Friday from 7 AM to 7 PM,,"Atlanta, GA - Policing Alternatives & Diversion (PAD)",33.75798173,-84.38389255
"Atlanta, GA",Policing Alternatives & Diversion (PAD),Georgia,PAD,1800.0,4.0,2024.0,,Mental Health,Trained Civilian,Contracted Agency - Social Service Provider,External hotline-led,2021,https://www.atlantapad.org/,,,Gray,499127,Monday through Friday from 7 AM to 7 PM,,"Atlanta, GA - Policing Alternatives & Diversion (PAD)",33.75798173,-84.38389255
"Atlanta, GA",Policing Alternatives & Diversion (PAD),Georgia,PAD,1800.0,4.0,2024.0,,Substance Use,Trained Civilian,Contracted Agency - Social Service Provider,External hotline-led,2021,https://www.atlantapad.org/,,,Gray,499127,Monday through Friday from 7 AM to 7 PM,,"Atlanta, GA - Policing Alternatives & Diversion (PAD)",33.75798173,-84.38389255
"Aurora, CO",Aurora Mobile Response Team (AMRT),Colorado,AMRT,436.0,3.0,2023.0,,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Human/Community Services Department,9-1-1 center-led,2021,https://www.auroragov.org/residents/neighborhood_resources/aurora_mobile_response_team,,,Gray,129687,"8 a.m. to 6 p.m., Monday through Saturday",,"Aurora, CO - Aurora Mobile Response Team (AMRT)",41.76615943,-88.30838205
"Austin, TX",Expanded Mobile Crisis Outreach Team (EMCOT),Texas,EMCOT,4579.0,5.0,,$3100000,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,Embedded professional-led,2019,https://integralcare.org/program/expanded-mobile-crisis-outreach-team-emcot/,,,Pink,974447,,General fund,"Austin, TX - Expanded Mobile Crisis Outreach Team (EMCOT)",30.28011793,-97.73732765
"Baltimore, MD",Behavioral Health 911 Diversion Program,Maryland,BH 911 Diversion,700.0,1.0,,,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,Embedded professional-led,2021,https://consentdecree.baltimorecity.gov/behavioral-health-and-consent-decree/9-1-1-diversion,,,Gray,569931,,,"Baltimore, MD - Behavioral Health 911 Diversion Program",39.29987093,-76.60438715
"Bangor, ME",Bangor Community Action Team (BCAT) ,Maine,BCAT,928.0,29.0,2023.0,$800000,Mental Health,Trained Civilian,City Police Department,9-1-1 center-led,2023,https://bangormaine.gov/509/Homelessness-Response#tabcf16ff2b-509a-4ba1-9cd1-94c4642947b3_0,,,Pink,31495,24/7,State/federal grants,"Bangor, ME - Bangor Community Action Team (BCAT) ",44.81061483,-68.76495705
"Bangor, ME",Bangor Community Action Team (BCAT) ,Maine,BCAT,928.0,29.0,2023.0,$800000,Service Connection,Trained Civilian,City Police Department,9-1-1 center-led,2023,https://bangormaine.gov/509/Homelessness-Response#tabcf16ff2b-509a-4ba1-9cd1-94c4642947b3_0,,,Pink,31495,24/7,State/federal grants,"Bangor, ME - Bangor Community Action Team (BCAT) ",44.81061483,-68.76495705
"Bellingham, WA",Alternative Response Team (ART) ,Washington,ART,1480.0,16.0,2023.0,,Mental Health,"EMT/Paramedic/Nurse,Trained Civilian",City Health Department,9-1-1 center-led,2023,https://www.whatcomcounty.us/3934/ART-Program,,,Gray,93602,,State/federal grants,"Bellingham, WA - Alternative Response Team (ART) ",48.76339053,-122.4724642
"Bellingham, WA",Alternative Response Team (ART) ,Washington,ART,1480.0,16.0,2023.0,,Service Connection,"EMT/Paramedic/Nurse,Trained Civilian",City Health Department,9-1-1 center-led,2023,https://www.whatcomcounty.us/3934/ART-Program,,,Gray,93602,,State/federal grants,"Bellingham, WA - Alternative Response Team (ART) ",48.76339053,-122.4724642
"Bellingham, WA",Alternative Response Team (ART) ,Washington,ART,1480.0,16.0,2023.0,,Conflict Resolution,"EMT/Paramedic/Nurse,Trained Civilian",City Health Department,9-1-1 center-led,2023,https://www.whatcomcounty.us/3934/ART-Program,,,Gray,93602,,State/federal grants,"Bellingham, WA - Alternative Response Team (ART) ",48.76339053,-122.4724642
"Bellingham, WA",Alternative Response Team (ART) ,Washington,ART,1480.0,16.0,2023.0,,Substance Use,"EMT/Paramedic/Nurse,Trained Civilian",City Health Department,9-1-1 center-led,2023,https://www.whatcomcounty.us/3934/ART-Program,,,Gray,93602,,State/federal grants,"Bellingham, WA - Alternative Response Team (ART) ",48.76339053,-122.4724642
"Boulder, CO",Community Assistance Response and Engagement (CARE),Colorado,CARE,,,,,Mental Health,"EMT/Paramedic/Nurse,Clinician/Social Worker",City Human/Community Services Department,,2023,"https://bouldercolorado.gov/services/community-assistance-response-and-engagement#:~:text=Colorado%20Crisis%20Services%20and%20Mental,3180%20Airport%20Road%20in%20Boulder.",,,Gray,105485,,,"Boulder, CO - Community Assistance Response and Engagement (CARE)",40.02397493,-105.2641732
"Boulder, CO",Community Assistance Response and Engagement (CARE),Colorado,CARE,,,,,Service Connection,"EMT/Paramedic/Nurse,Clinician/Social Worker",City Human/Community Services Department,,2023,"https://bouldercolorado.gov/services/community-assistance-response-and-engagement#:~:text=Colorado%20Crisis%20Services%20and%20Mental,3180%20Airport%20Road%20in%20Boulder.",,,Gray,105485,,,"Boulder, CO - Community Assistance Response and Engagement (CARE)",40.02397493,-105.2641732
"Boulder, CO",Community Assistance Response and Engagement (CARE),Colorado,CARE,,,,,Substance Use,"EMT/Paramedic/Nurse,Clinician/Social Worker",City Human/Community Services Department,,2023,"https://bouldercolorado.gov/services/community-assistance-response-and-engagement#:~:text=Colorado%20Crisis%20Services%20and%20Mental,3180%20Airport%20Road%20in%20Boulder.",,,Gray,105485,,,"Boulder, CO - Community Assistance Response and Engagement (CARE)",40.02397493,-105.2641732
"Cambridge, MA",Community Assistance Response and Engagement Team (CARE) ,Massachusetts,CARE,400.0,3.0,,,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",New City Community Safety Department,9-1-1 center-led,2024,https://www.cambridgema.gov/Departments/communitysafety,,,Gray,118488,"Mon: 8:30AM - 8PM
Tue - Thu: 8:30AM - 5PM
Fri: 8:30AM - 12PM",,"Cambridge, MA - Community Assistance Response and Engagement Team (CARE) ",42.37462403,-71.09762995
"Chapel Hill, NC",Crisis Assistance Response and Engagement (CARE) Team,North Carolina,CARE,1300.0,20.0,2025.0,$580000,Mental Health,"EMT/Paramedic/Nurse,Clinician/Social Worker,Peer Support Specialist",City Police Department,Embedded professional-led,2024,https://www.townofchapelhill.org/government/departments-services/police/specialty-units/crisis-unit,,,Gray,64028,"Monday through Friday, 8:00 a.m.–4:30 p.m.",,"Chapel Hill, NC - Crisis Assistance Response and Engagement (CARE) Team",35.9132,-79.0558
"Charlotte, NC","Community Assistance: Respond, Engage, Support (CARES)",North Carolina,CARES,1460.0,2.0,,,Mental Health,Clinician/Social Worker,Contracted Agency - Social Service Provider,,2022,,,,Gray,885663,,,"Charlotte, NC - Community Assistance: Respond, Engage, Support (CARES)",35.23619793,-80.83671085
"Charlotte, NC","Community Assistance: Respond, Engage, Support (CARES)",North Carolina,CARES,1460.0,2.0,,,Service Connection,Clinician/Social Worker,Contracted Agency - Social Service Provider,,2022,,,,Gray,885663,,,"Charlotte, NC - Community Assistance: Respond, Engage, Support (CARES)",35.23619793,-80.83671085
"Charlotte, NC","Community Assistance: Respond, Engage, Support (CARES)",North Carolina,CARES,1460.0,2.0,,,Substance Use,Clinician/Social Worker,Contracted Agency - Social Service Provider,,2022,,,,Gray,885663,,,"Charlotte, NC - Community Assistance: Respond, Engage, Support (CARES)",35.23619793,-80.83671085
"Chicago, IL",Crisis Assistance Response and Engagement (CARE),Illinois,CARE,315.0,,,,Mental Health,"EMT/Paramedic/Nurse,Trained Civilian",City Health Department,,2022,https://www.chicago.gov/city/en/depts/cdph/supp_info/behavioral-health/care-home.html,,,Gray,2756546,"Monday-Friday, 10:30 a.m. - 4:00 p.m",,"Chicago, IL - Crisis Assistance Response and Engagement (CARE)",41.88455093,-87.61804935
"Cincinnati, OH",Alternative Response to Crisis Team (ARC),Ohio,ARC,1332.0,4.0,2024.0,$615000,Mental Health,"EMT/Paramedic/Nurse,Clinician/Social Worker,Trained Civilian",City Emergency Communications Department,9-1-1 center-led,2022,https://www.cincinnati-oh.gov/ecc/arc/ ,,https://insights.cincinnati-oh.gov/stories/s/Alternative-Response-to-Crisis/kv37-3fpq/,Gray,311791,,,"Cincinnati, OH - Alternative Response to Crisis Team (ARC)",39.11044303,-84.50608835
"Cincinnati, OH",Alternative Response to Crisis Team (ARC),Ohio,ARC,1332.0,4.0,2024.0,$615000,Service Connection,"EMT/Paramedic/Nurse,Clinician/Social Worker,Trained Civilian",City Emergency Communications Department,9-1-1 center-led,2022,https://www.cincinnati-oh.gov/ecc/arc/ ,,https://insights.cincinnati-oh.gov/stories/s/Alternative-Response-to-Crisis/kv37-3fpq/,Gray,311791,,,"Cincinnati, OH - Alternative Response to Crisis Team (ARC)",39.11044303,-84.50608835
"Cincinnati, OH",Alternative Response to Crisis Team (ARC),Ohio,ARC,1332.0,4.0,2024.0,$615000,Substance Use,"EMT/Paramedic/Nurse,Clinician/Social Worker,Trained Civilian",City Emergency Communications Department,9-1-1 center-led,2022,https://www.cincinnati-oh.gov/ecc/arc/ ,,https://insights.cincinnati-oh.gov/stories/s/Alternative-Response-to-Crisis/kv37-3fpq/,Gray,311791,,,"Cincinnati, OH - Alternative Response to Crisis Team (ARC)",39.11044303,-84.50608835
"Colorado Springs, CO",Alternate Response Team (ART) ,Colorado,ART,228.0,,,,Mental Health,"EMT/Paramedic/Nurse,Trained Civilian",City Fire/EMS Department,9-1-1 center-led,2022,https://coloradosprings.gov/fire-department/page/community-and-public-health-cares,,,Gray,491467,,,"Colorado Springs, CO - Alternate Response Team (ART) ",38.84294713,-104.8189762
"Colorado Springs, CO",Alternate Response Team (ART) ,Colorado,ART,228.0,,,,Service Connection,"EMT/Paramedic/Nurse,Trained Civilian",City Fire/EMS Department,9-1-1 center-led,2022,https://coloradosprings.gov/fire-department/page/community-and-public-health-cares,,,Gray,491467,,,"Colorado Springs, CO - Alternate Response Team (ART) ",38.84294713,-104.8189762
"Colorado Springs, CO",Community Response Team (CRT) ,Colorado,CRT,228.0,,,,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2014,https://coloradosprings.gov/fire-department/page/community-and-public-health-cares,,,Gray,491467,,,"Colorado Springs, CO - Community Response Team (CRT) ",38.952074,-104.736309
"Colorado Springs, CO",Community Response Team (CRT) ,Colorado,CRT,228.0,,,,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Fire/EMS Department,9-1-1 center-led,2014,https://coloradosprings.gov/fire-department/page/community-and-public-health-cares,,,Gray,491467,,,"Colorado Springs, CO - Community Response Team (CRT) ",38.952074,-104.736309
"Contra Costa County, CA",A3 (Mobile Crisis Response Team),California,A3,1303.0,1.0,2023.0,,Mental Health,Trained Civilian,County Health Department,External hotline-led,2022,https://www.cchealth.org/get-care/a3-crisis-response ,,https://www.cchealth.org/get-care/a3-crisis-response/a3-dashboard,Gray,1155000,,,"Contra Costa County, CA - A3 (Mobile Crisis Response Team)",37.91246993,-121.9111627
"Cookville, TN",Cookville Community Response (CCR),Tennessee,CCR,,,,,Mental Health,,City Fire/EMS Department,9-1-1 center-led,2024,https://namitn.org/cookeville-community-response/,,,Gray,37229,"Monday through Friday
From 3 PM to 11 PM",,"Cookville, TN - Cookville Community Response (CCR)",36.17137793,-85.49333385
"Cookville, TN",Cookville Community Response (CCR),Tennessee,CCR,,,,,Service Connection,,City Fire/EMS Department,9-1-1 center-led,2024,https://namitn.org/cookeville-community-response/,,,Gray,37229,"Monday through Friday
From 3 PM to 11 PM",,"Cookville, TN - Cookville Community Response (CCR)",36.17137793,-85.49333385
"Cookville, TN",Cookville Community Response (CCR),Tennessee,CCR,,,,,Substance Use,,City Fire/EMS Department,9-1-1 center-led,2024,https://namitn.org/cookeville-community-response/,,,Gray,37229,"Monday through Friday
From 3 PM to 11 PM",,"Cookville, TN - Cookville Community Response (CCR)",36.17137793,-85.49333385
"Dayton, OH",Mediation Response Unit (MRU),Ohio,MRU,2393.0,18.0,2024.0,$1200000,Conflict Resolution,Trained Civilian,City Mediation Center,9-1-1 center-led,2021,https://www.daytonmediationcenter.org/copy-of-mediation-response-unit-mru,,,Gray,135944,"11 a.m. to 8 p.m., Monday through Friday",,"Dayton, OH - Mediation Response Unit (MRU)",39.76793713,-84.18523505
"Dayton, OH",Mediation Response Unit (MRU),Ohio,MRU,2393.0,18.0,2024.0,$1200000,Service Connection,Trained Civilian,City Mediation Center,9-1-1 center-led,2021,https://www.daytonmediationcenter.org/copy-of-mediation-response-unit-mru,,,Gray,135944,"11 a.m. to 8 p.m., Monday through Friday",,"Dayton, OH - Mediation Response Unit (MRU)",39.76793713,-84.18523505
"Denver, CO",Support Team Assisted Response (STAR),Colorado,STAR,7657.0,11.0,2023.0,$6200000,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2020,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Public-Health-Environment/Community-Behavioral-Health/Behavioral-Health-Strategies/Support-Team-Assisted-Response-STAR-Program,"2024 - Program Evaluation here
2022 Mid-Year Report here",,Pink,715252,,,"Denver, CO - Support Team Assisted Response (STAR)",39.74822573,-104.9784902
"Denver, CO",Support Team Assisted Response (STAR),Colorado,STAR,7657.0,11.0,2023.0,$6200000,Service Connection,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2020,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Public-Health-Environment/Community-Behavioral-Health/Behavioral-Health-Strategies/Support-Team-Assisted-Response-STAR-Program,"2024 - Program Evaluation here
2022 Mid-Year Report here",,Pink,715252,,,"Denver, CO - Support Team Assisted Response (STAR)",39.74822573,-104.9784902
"Denver, CO",Support Team Assisted Response (STAR),Colorado,STAR,7657.0,11.0,2023.0,$6200000,Substance Use,"Clinician/Social Worker,EMT/Paramedic/Nurse",City Health Department,9-1-1 center-led,2020,https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Public-Health-Environment/Community-Behavioral-Health/Behavioral-Health-Strategies/Support-Team-Assisted-Response-STAR-Program,"2024 - Program Evaluation here
2022 Mid-Year Report here",,Pink,715252,,,"Denver, CO - Support Team Assisted Response (STAR)",39.74822573,-104.9784902
"Des Moines, IA",Crisis Advocacy Response Effort (CARE),Iowa,CARE,690.0,3.0,,,Mental Health,Clinician/Social Worker,City Police Department,,2022,,,,Gray,216237,,,"Des Moines, IA - Crisis Advocacy Response Effort (CARE)",41.59585473,-93.61857755
"Des Moines, IA",Crisis Advocacy Response Effort (CARE),Iowa,CARE,690.0,3.0,,,Service Connection,Clinician/Social Worker,City Police Department,,2022,,,,Gray,216237,,,"Des Moines, IA - Crisis Advocacy Response Effort (CARE)",41.59585473,-93.61857755
"Des Moines, IA",Crisis Advocacy Response Effort (CARE),Iowa,CARE,690.0,3.0,,,Conflict Resolution,Clinician/Social Worker,City Police Department,,2022,,,,Gray,216237,,,"Des Moines, IA - Crisis Advocacy Response Effort (CARE)",41.59585473,-93.61857755
"Des Moines, IA",Crisis Advocacy Response Effort (CARE),Iowa,CARE,690.0,3.0,,,Suspicious Person,Clinician/Social Worker,City Police Department,,2022,,,,Gray,216237,,,"Des Moines, IA - Crisis Advocacy Response Effort (CARE)",41.59585473,-93.61857755
"Deschutes County, OR",Community Crisis Response Team (CCRT),Oregon,CCRT,1939.0,9.0,2023.0,,Mental Health,"Clinician/Social Worker,Trained Civilian",,,2023,https://www.deschutes.org/health/page/crisis-services,,,Gray,210409,,,"Deschutes County, OR - Community Crisis Response Team (CCRT)",43.82847313,-121.1605944
"Deschutes County, OR",Community Crisis Response Team (CCRT),Oregon,CCRT,1939.0,9.0,2023.0,,Service Connection,"Clinician/Social Worker,Trained Civilian",,,2023,https://www.deschutes.org/health/page/crisis-services,,,Gray,210409,,,"Deschutes County, OR - Community Crisis Response Team (CCRT)",43.82847313,-121.1605944
"Durham, NC",HEART - Community Response Teams (CRT),North Carolina,HEART - CRT,8062.0,28.0,,$2000000,Mental Health,"Clinician/Social Worker,EMT/Paramedic/Nurse",New City Community Safety Department,9-1-1 center-led,2022,https://www.durhamnc.gov/4576/Community-Safety,,https://app.powerbigov.us/view?r=eyJrIjoiMWQ1YzViMGYtYmI1MC00NWM3LTg1NWUtMjdjNzk3NWNlYzU0IiwidCI6IjI5N2RlZjgyLTk0MzktNDM4OC1hODA4LTM1NDhhNGVjZjQ3ZCJ9&pageName=ReportSection7606ef27f6ee056e6f9f,Pink,291928,,,"Durham, NC - HEART - Community Response Teams (CRT)",36.00564233,-78.89543345
